,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
77,Levon Thomas,Georgia Tech,ACC,12,32,514,15.1,3,2,34
78,Buchie Ibeh,Temple,Big East,8,22,337,15.3,1,,22
79,Kenny Higgins,Toledo,MAC,13,46,776,13.9,5,10,56
80,Montrell Jones,Louisville,CUSA,12,37,564,15.2,3,0,37
81,Jesse Holley,North Carolina,ACC,12,30,460,14.4,2,2,32
82,Travis Latendresse,Utah,MWC,12,27,420,14.0,2,3,30
83,Geoff McArthur,California,Pac-10,12,57,862,15.1,7,,57
85,Terry Richardson,Arizona State,Pac-10,12,45,718,14.7,7,4,49
86,Derek Hagan,Arizona State,Pac-10,12,83,1248,15.0,10,,83
87,Jason Williams,Connecticut,Big East,12,44,692,15.0,4,2,46
88,Ikey Chuku,Temple,Big East,11,31,473,14.8,3,1,32
89,Tim Tolbert,New Mexico State,Sun Belt,11,28,420,15.0,3,,28
90,Nate Morton,Wake Forest,ACC,10,26,399,13.3,1,4,30
91,Eric Deslauriers,Eastern Michigan,MAC,11,84,1265,14.9,13,1,85
92,Britton Komine,Hawaii,WAC,13,53,788,14.9,4,,53
93,J.P. Waller,Air Force,MWC,11,32,478,14.5,3,1,33
94,Syndric Steptoe,Arizona,Pac-10,10,30,476,14.4,3,3,33
95,Greg Jennings,Western Michigan,MAC,11,74,1104,14.3,11,3,77
96,Courtney Roby,Indiana,Big Ten,11,55,945,12.4,9,21,76
97,Chauncey Stovall,Florida State,ACC,12,53,778,14.4,6,1,54
98,Rufus Skillern,San Jose State,WAC,11,40,588,14.7,4,,40
99,Larry Lester,Boston College,Big East,8,35,515,14.7,2,,35
100,Michael Robinson,Penn State,Big Ten,9,33,657,8.0,3,49,82
101,Ryne Robinson,Miami (OH),MAC,13,64,923,13.2,4,6,70
102,Michael Larkin,Miami (OH),MAC,13,57,832,14.6,8,,57
103,Kendrick Jones,Illinois,Big Ten,11,47,694,14.5,5,1,48
104,Austin Collie,Brigham Young,MWC,11,53,790,13.4,8,6,59
106,Rhema McKnight,Notre Dame,Ind,12,42,610,14.5,3,,42
107,Kemmie Lewis,Louisiana,Sun Belt,11,40,578,14.5,1,,40
